word,frequency
the,2126
and,1236
he,866
of,545
I,465
to,453
was,436
his,430
it,397
a,392
in,352
He,282
that,278
fish,266
old,247
man,243
him,230
had,203
with,202
not,198
The,197
on,197
as,192
is,191
said,189
But,181
thought,165
you,145
have,139
were,138
line,138
now,133
for,133
could,114
water,105
out,104
they,99
boy,98
them,97
at,96
would,95
It,94
from,93
all,93
will,89
hand,89
down,89
be,87
when,85
back,83
up,82
do,80
so,77
then,76
Then,74
must,72
no,70
too,69
see,67
can,67
one,66
there,64
great,64
again,64
head,62
are,61
more,60
me,59
against,59
did,57
into,55
two,53
They,53
but,53
what,52
or,52
only,52
over,51
if,51
left,50
made,49
come,48
skiff,47
time,46
sun,46
saw,46
much,46
like,45
knew,45
hands,45
good,44
been,43
this,42
their,42
sea,42
my,42
dark,42
well,41
go,41
get,41
came,41
You,40
think,40
shark,40
Now,40
felt,40
boat,39
There,37
looked,37
himself,37
fast,37
am,37
still,36
some,36
know,36
eat,36
went,35
big,35
we,34
very,34
aloud,34
where,33
right,33
put,33
cut,33
before,33
long,32
bow,32
side,31
make,31
let,31
by,31
your,30
took,30
than,30
night,30
its,30
first,30
other,29
Ill,29
If,29
her,29
about,29
an,28
take,27
stern,27
nothing,27
little,27
across,27
under,26
through,26
slowly,26
never,26
hit,26
has,26
bird,26
watched,25
though,25
sharks,25
off,25
many,25
held,25
dolphin,25
day,25
And,25
after,25
tail,24
eyes,24
each,24
any,24
who,23
started,23
small,23
pull,23
just,23
feel,23
far,23
work,22
wish,22
way,22
strong,22
something,22
light,22
kill,22
keep,22
flying,22
because,22
until,21
No,21
lines,21
how,21
gone,21
another,21
shoulders,20
sail,20
knife,20
hook,20
harpoon,20
going,20
away,20
around,20
without,19
When,19
sleep,19
should,19
nor,19
mans,19
heavy,19
even,19
better,19
wood,18
What,18
That,18
strength,18
bring,18
remember,17
pulled,17
ocean,17
jaws,17
high,17
fishermen,17
current,17
bait,17
asked,17
almost,17
while,16
weight,16
want,16
surface,16
steady,16
steadily,16
mast,16
His,16
deep,16
circle,16
cannot,16
breeze,16
always,16
turned,15
turn,15
try,15
THE,15
strange,15
seen,15
once,15
oars,15
mouth,15
might,15
meat,15
leaned,15
How,15
coming,15
clear,15
both,15
bad,15
wide,14
which,14
tuna,14
things,14
straight,14
since,14
sardines,14
rose,14
purple,14
open,14
onto,14
moved,14
morning,14
hurt,14
hard,14
fishs,14
everything,14
course,14
coils,14
blue,14
bed,14
yellow,13
wind,13
tried,13
together,13
tired,13
This,13
swam,13
say,13
part,13
Maybe,13
hooked,13
half,13
feet,13
enough,13
air,13
tiller,12
three,12
strain,12
sky,12
showed,12
shoulder,12
shack,12
rope,12
road,12
pain,12
moon,12
lay,12
In,12
hundred,12
here,12
God,12
fight,12
ever,12
dream,12
does,12
days,12
brought,12
arm,12
wonder,11
white,11
us,11
told,11
thing,11
such,11
soon,11
point,11
our,11
moving,11
luck,11
land,11
Im,11
hours,11
hold,11
gaff,11
fresh,11
feeling,11
face,11
Eat,11
Do,11
cold,11
circling,11
began,11
baseball,11
alone,11
used,10
times,10
Terrace,10
swung,10
sure,10
stay,10
spread,10
sorry,10
same,10
salt,10
rested,10
rest,10
reached,10
oar,10
look,10
last,10
knows,10
killed,10
Just,10
jump,10
huge,10
hope,10
home,10
Hes,10
help,10
heard,10
fingers,10
eye,10
except,10
Dont,10
Come,10
club,10
calm,10
bone,10
boats,10
blood,10
badly,10
asleep,10
although,10
Yes,9
worked,9
turtles,9
truly,9
trousers,9
today,9
tight,9
taken,9
stars,9
smell,9
scent,9
sailed,9
reserve,9
pulling,9
perhaps,9
people,9
next,9
moment,9
may,9
loved,9
looking,9
lions,9
Let,9
jumped,9
give,9
gently,9
forward,9
foot,9
fisherman,9
eating,9
early,9
drove,9
dropped,9
dead,9
coffee,9
carried,9
carefully,9
called,9
body,9
blade,9
between,9
behind,9
baits,9
Youre,8
working,8
weather,8
toward,8
tell,8
talk,8
swimming,8
stripes,8
So,8
sin,8
silver,8
ready,8
place,8
Perhaps,8
passed,8
others,8
ones,8
One,8
My,8
male,8
lucky,8
kept,8
inside,8
fathoms,8
dont,8
DiMaggio,8
cord,8
clouds,8
breaking,8
break,8
beautiful,8
beat,8
ate,8
alongside,8
along,8
alive,8
After,8
above,8
A,8
wings,7
Why,7
watching,7
true,7
these,7
speed,7
sometimes,7
Sometimes,7
slept,7
shut,7
show,7
settled,7
set,7
rowed,7
rising,7
negro,7
need,7
nearly,7
lights,7
lightly,7
lifted,7
legs,7
hour,7
glow,7
getting,7
found,7
fin,7
fear,7
father,7
end,7
east,7
drew,7
done,7
cutting,7
cramped,7
comes,7
closed,7
close,7
caught,7
Can,7
brown,7
blanket,7
birds,7
beside,7
below,7
believe,7
anything,7
AND,7
ahead,7
woke,6
wire,6
weed,6
We,6
wake,6
table,6
strips,6
stayed,6
spur,6
spoke,6
slid,6
slant,6
sight,6
sides,6
sheet,6
school,6
really,6
quite,6
pushed,6
pounds,6
picked,6
Or,6
On,6
new,6
mine,6
men,6
maybe,6
May,6
marlin,6
making,6
makes,6
Make,6
love,6
lose,6
life,6
length,6
later,6
late,6
lash,6
kind,6
holding,6
higher,6
Hell,6
heart,6
Havana,6
harbour,6
green,6
got,6
gear,6
gave,6
fins,6
fell,6
feed,6
faint,6
exactly,6
either,6
edge,6
ebook,6
easy,6
Each,6
dreamed,6
drag,6
door,6
clean,6
care,6
cant,6
brain,6
born,6
bill,6
being,6
anyway,6
already,6
yourself,5
washed,5
wall,5
waited,5
turns,5
trail,5
trade,5
top,5
thumb,5
those,5
third,5
ten,5
sweet,5
suffering,5
sudden,5
stick,5
steer,5
spots,5
shivering,5
she,5
sharp,5
second,5
sacks,5
sack,5
rolled,5
projecting,5
piece,5
pay,5
Once,5
nose,5
noise,5
net,5
neck,5
necessary,5
meant,5
matter,5
low,5
lost,5
loose,5
longer,5
live,5
liked,5
learn,5
lashed,5
laid,5
knees,5
kills,5
jerk,5
hungry,5
hung,5
hear,5
happy,5
goes,5
full,5
friend,5
four,5
forty,5
forever,5
For,5
flesh,5
Fish,5
find,5
evening,5
effort,5
driving,5
dip,5
difficult,5
difference,5
die,5
delicate,5
darkness,5
cramp,5
covered,5
confidence,5
coiled,5
chewed,5
buy,5
brothers,5
braced,5
box,5
bottle,5
borrow,5
bitt,5
belly,5
beer,5
beaches,5
As,5
All,5
afraid,5
years,4
Yankees,4
With,4
wild,4
wanted,4
walked,4
use,4
trying,4
touch,4
TO,4
tied,4
Think,4
tension,4
Tell,4
taut,4
taking,4
sword,4
swinging,4
swim,4
sweat,4
suddenly,4
stupid,4
struck,4
stepped,4
solid,4
smelled,4
slow,4
slipped,4
size,4
showing,4
short,4
shore,4
shirt,4
shape,4
shadow,4
September,4
sat,4
Santiago,4
sad,4
room,4
risen,4
righted,4
rice,4
resting,4
remembered,4
red,4
raw,4
ran,4
quickly,4
quick,4
pressure,4
planking,4
phosphorescence,4
outside,4
order,4
opened,4
north,4
noon,4
newspaper,4
move,4
mile,4
means,4
Many,4
lurch,4
lower,4
leave,4
lavender,4
lashing,4
Keep,4
jumping,4
jerked,4
itself,4
instead,4
ice,4
hurricane,4
house,4
headed,4
happen,4
handle,4
Hail,4
gunwale,4
greatest,4
gills,4
Galanos,4
gained,4
further,4
furled,4
free,4
food,4
flat,4
fishing,4
filaments,4
female,4
excellent,4
every,4
eaten,4
eastward,4
easily,4
dry,4
drink,4
drank,4
different,4
didnt,4
death,4
daylight,4
confident,4
commenced,4
comfortable,4
colour,4
clubbed,4
chance,4
chair,4
catch,4
cast,4
carry,4
butt,4
built,4
broken,4
broke,4
bonito,4
blowing,4
black,4
best,4
beaten,4
beach,4
At,4
arms,4
anyone,4
afternoon,4
Africa,4
added,4
young,3
yet,3
wrong,3
wrapped,3
worthy,3
woman,3
wished,3
wiped,3
wife,3
whole,3
Who,3
wet,3
watch,3
warm,3
walls,3
understand,3
uncramp,3
turtle,3
towing,3
tonight,3
Tomorrow,3
tiring,3
tiny,3
thwart,3
throw,3
thousand,3
thinking,3
themselves,3
Thats,3
thank,3
Thank,3
teeth,3
taste,3
sunset,3
stuff,3
stopped,3
stood,3
Still,3
stiff,3
steered,3
steal,3
spring,3
spear,3
speak,3
spat,3
sound,3
sort,3
someone,3
softly,3
smoothly,3
slip,3
sleeping,3
slanting,3
skinned,3
skin,3
six,3
sitting,3
sit,3
simple,3
ship,3
shifted,3
sheath,3
shaking,3
shaft,3
shade,3
sets,3
sent,3
sell,3
SEA,3
schools,3
sailing,3
rush,3
run,3
ruined,3
rudder,3
rubbed,3
rowing,3
rise,3
rigged,3
Rest,3
resolution,3
Remember,3
rather,3
raised,3
quietly,3
quiet,3
question,3
putting,3
punishment,3
prisms,3
pride,3
prepare,3
prayers,3
poison,3
plenty,3
play,3
plankton,3
pieces,3
pick,3
Pedrico,3
pectoral,3
patches,3
patched,3
pass,3
paper,3
overboard,3
Our,3
older,3
OLD,3
noticed,3
Nothing,3
Not,3
noble,3
newspapers,3
negros,3
needed,3
movement,3
mountains,3
most,3
months,3
money,3
match,3
Marys,3
market,3
manager,3
Man,3
MAN,3
loss,3
loosen,3
less,3
leaning,3
killing,3
keeps,3
jumps,3
Its,3
intelligent,3
increased,3
IN,3
hunger,3
hot,3
horses,3
hoped,3
hills,3
HEMINGWAY,3
heel,3
heads,3
Have,3
hasnt,3
hardly,3
harder,3
happened,3
Gulf,3
gripped,3
Good,3
golden,3
gold,3
Go,3
glare,3
gentle,3
gaining,3
friends,3
fortyfathom,3
form,3
force,3
fly,3
floated,3
fished,3
finger,3
fine,3
finally,3
Finally,3
fillets,3
few,3
Fathers,3
everyone,3
Even,3
ERNEST,3
endure,3
eightyfive,3
eight,3
drifted,3
dried,3
dorsal,3
doing,3
depth,3
dentuso,3
decided,3
Date,3
crying,3
cruel,3
cramps,3
corner,3
coast,3
clubbing,3
clicking,3
clearly,3
chop,3
choice,3
chewing,3
chest,3
changed,3
change,3
careful,3
carcass,3
cans,3
Canada,3
butchered,3
brother,3
brings,3
bright,3
boys,3
bought,3
bettors,3
Besides,3
Because,3
Be,3
backbone,3
attention,3
astern,3
ask,3
anymore,3
among,3
Also,3
airplane,3
age,3
able,3
York,2
yesterdays,2
yesterday,2
year,2
yard,2
worse,2
worry,2
worried,2
worn,2
wonderful,2
women,2
withdrew,2
winter,2
wildly,2
why,2
whether,2
Where,2
whatever,2
Were,2
weighed,2
week,2
wedgeshaped,2
weaving,2
weapon,2
wash,2
waking,2
waken,2
waiting,2
waiter,2
vomit,2
Virgin,2
village,2
Very,2
va,2
usually,2
urinated,2
unstepped,2
unleashed,2
understanding,2
uncramped,2
unclear,2
Two,2
twice,2
Twice,2
turtleing,2
tunas,2
tricks,2
treachery,2
traps,2
trailing,2
touching,2
tore,2
tomorrow,2
timid,2
tightened,2
tide,2
threw,2
thoughts,2
Those,2
thirty,2
thin,2
thigh,2
These,2
tails,2
swirl,2
swallow,2
surely,2
suppose,2
sunrise,2
sung,2
sugar,2
suffer,2
stream,2
straw,2
straightened,2
stop,2
stone,2
sticks,2
stew,2
steering,2
Stay,2
spurs,2
spot,2
spoon,2
southwest,2
Sons,2
SONS,2
Some,2
solidly,2
sold,2
soaked,2
snapped,2
smelling,2
slowed,2
slit,2
slice,2
slave,2
slanted,2
simply,2
silly,2
sign,2
shrimps,2
shows,2
shouldnt,2
Should,2
shook,2
shivered,2
shiver,2
shipped,2
shift,2
She,2
sharply,2
shaped,2
shank,2
sees,2
seemed,2
Sea,2
scythe,2
Scribners,2
SCRIBNERS,2
scars,2
save,2
Sargasso,2
sardine,2
sank,2
sand,2
salted,2
safety,2
rum,2
row,2
rough,2
rocks,2
rock,2
rises,2
return,2
restrictions,2
replaced,2
reflection,2
referees,2
read,2
reach,2
rapier,2
raising,2
raise,2
radio,2
Qué,2
punched,2
Pull,2
prove,2
proprietor,2
proper,2
promised,2
promise,2
Project,2
probably,2
pray,2
poured,2
pot,2
possible,2
Portuguese,2
poor,2
pocket,2
Please,2
pleasant,2
playing,2
played,2
plans,2
planks,2
plan,2
placed,2
pivoted,2
pity,2
pillow,2
pig,2
picture,2
phosphorescent,2
pencil,2
patch,2
past,2
parts,2
papers,2
panic,2
palms,2
palm,2
pale,2
painful,2
paid,2
pack,2
own,2
Others,2
opening,2
Old,2
Of,2
OF,2
nourishment,2
noted,2
NOT,2
NorthWest,2
northeast,2
normal,2
Nor,2
noose,2
nonsense,2
New,2
Never,2
neither,2
names,2
myself,2
mutilated,2
movements,2
motionless,2
mother,2
Most,2
month,2
mirrors,2
minute,2
Mine,2
milk,2
middle,2
mechanically,2
measuring,2
mean,2
matches,2
Mary,2
mar,2
Manolin,2
manofwar,2
mala,2
Mako,2
lovely,2
loop,2
looks,2
lives,2
livers,2
lived,2
lightness,2
lighter,2
level,2
least,2
leagues,2
leader,2
Last,2
lamps,2
knowing,2
knelt,2
kicked,2
joined,2
Jesus,2
jerking,2
jaw,2
jammed,2
J,2
Islands,2
island,2
Is,2
iridescent,2
Inside,2
Indians,2
increase,2
inch,2
Id,2
hoisted,2
hitting,2
hissing,2
hide,2
Hemingway,2
hell,2
height,2
hawks,2
HAVE,2
hat,2
happily,2
hang,2
handsome,2
gutted,2
Gutenberg,2
gut,2
gulf,2
guano,2
greater,2
gray,2
glass,2
given,2
gets,2
Get,2
galano,2
friendly,2
fought,2
forehead,2
forefinger,2
forearms,2
forced,2
followed,2
flow,2
floor,2
flight,2
flattened,2
five,2
fit,2
First,2
firm,2
finding,2
filled,2
fighting,2
fiction,2
feeding,2
fed,2
fearless,2
fault,2
fastmoving,2
fall,2
faith,2
factory,2
Everything,2
Every,2
etching,2
especially,2
Ernest,2
enemy,2
ends,2
empty,2
else,2
eightyseven,2
eightyfour,2
During,2
drift,2
dressed,2
dreaming,2
draw,2
dozen,2
double,2
Dolphin,2
dollars,2
docks,2
disturb,2
dipping,2
dignity,2
dies,2
devise,2
Detroit,2
destroyed,2
desperately,2
desperate,2
depths,2
delicately,2
defeat,2
deepest,2
decides,2
de,2
dangerous,2
cuts,2
cumulus,2
cry,2
crushed,2
crazy,2
cramping,2
Could,2
cost,2
coral,2
copyright,2
COPYRIGHT,2
convince,2
continued,2
container,2
considered,2
completely,2
comfortably,2
color,2
coil,2
Cobre,2
cloud,2
closing,2
closer,2
clock,2
climb,2
Cleveland,2
cleared,2
Clear,2
cleaned,2
claws,2
cirrus,2
circles,2
circled,2
Cienfuegos,2
Christ,2
chopped,2
chin,2
cheerful,2
cheek,2
checked,2
check,2
Charles,2
CHARLES,2
cat,2
carrying,2
BY,2
bubble,2
Brooklyn,2
brisa,2
bringing,2
Bring,2
bracing,2
bottles,2
bones,2
board,2
blow,2
blotches,2
Blessed,2
bleeding,2
biggest,2
bigger,2
Big,2
beyond,2
begin,2
Bed,2
become,2
beautifully,2
bat,2
basket,2
base,2
barefooted,2
bare,2
banging,2
baited,2
Bad,2
backs,2
backing,2
backed,2
Back,2
Ay,2
attained,2
asking,2
armed,2
Are,2
anchored,2
albacore,2
alarm,2
aid,2
youve,1
yours,1
youre,1
Your,1
YOUR,1
younger,1
Youll,1
YORK,1
Yet,1
yards,1
wrinkles,1
wrenched,1
wrapping,1
wounds,1
wound,1
worthless,1
worst,1
world,1
Work,1
word,1
wooden,1
wont,1
Wonderful,1
won,1
WOMEN,1
womb,1
WITHOUT,1
within,1
